GeonameID,Place Name (UTF8) VarChar(200),Place ASCII Name,Latitude,Longitude,Feature Class,Feature Code,Country Code,Alternate Country Codes (comma-separated),Fipscode,2nd Level Admin Division,3rd Level Admin Division,4th Level Admin Division,Population,Elevation (metres),Digital Elevation Model (metres),Timezone (IANA ID),Modification Date
5964215,Granby,Granby,45.40008,-72.73243,P,PPL,CA,,10,16,47017,,66222,,102,America/Toronto,2021-11-10
5964230,Grand Bank,Grand Bank,47.09995,-55.76504,P,PPL,CA,,5,,,,4623,,5,America/St_Johns,2006-01-22
12070752,Grand Centre,Grand Centre,54.41628,-110.21304,P,PPL,CA,,1,4812002,,,7256,,534,America/Edmonton,2019-08-09
5964378,Grand Falls-Windsor,Grand Falls-Windsor,48.93324,-55.66492,P,PPL,CA,,5,,,,12076,,67,America/St_Johns,2008-04-11
5964401,Grand Forks,Grand Forks,49.03309,-118.4356,P,PPL,CA,,2,5905,5905032,,4049,,514,America/Vancouver,2021-12-27
5964410,Grand Haven,Grand Haven,56.23333,-120.9,P,PPL,CA,,2,,,,735,,655,America/Dawson_Creek,2019-08-12
5964304,Grande Cache,Grande Cache,53.88335,-119.13585,P,PPL,CA,,1,,,,4025,,1225,America/Edmonton,2008-04-11
5964347,Grande Prairie,Grande Prairie,55.16667,-118.80271,P,PPL,CA,,1,,,,41462,,653,America/Edmonton,2019-09-05
5964318,Grande-Digue,Grande-Digue,46.30014,-64.56546,P,PPL,CA,,4,,,,2261,,21,America/Moncton,2021-12-26
5965462,Gravelbourg,Gravelbourg,49.88336,-106.55122,P,PPL,CA,,11,,,,1109,,699,America/Regina,2008-04-11
5965546,Gravenhurst,Gravenhurst,44.91681,-79.36633,P,PPL,CA,,8,,,,12312,,260,America/Toronto,2021-12-25
12076652,Greater Lakeburn,Greater Lakeburn,46.07651,-64.66818,P,PPL,CA,,4,1307,,,1014,,48,America/Moncton,2019-08-12
5965812,Greater Napanee,Greater Napanee,44.25012,-76.94944,P,PPL,CA,,8,,,,15892,,92,America/Toronto,2021-11-12
5964700,Greater Sudbury,Greater Sudbury,46.49,-80.99001,P,PPL,CA,,8,,,,157857,,266,America/Toronto,2014-05-12
5965944,Greenbank,Greenbank,44.15012,-79.01628,P,PPL,CA,,8,,,,554,,287,America/Toronto,2019-08-13
5966580,Green's Harbour,Green's Harbour,47.63319,-53.49809,P,PPL,CA,,5,,,,642,,5,America/St_Johns,2019-08-12
5966622,Greenstone,Greenstone,49.73343,-87.16668,P,PPL,CA,,8,,,,4636,,339,America/Toronto,2021-12-23
5966689,Greenwood,Greenwood,44.97413,-64.93169,P,PPL,CA,,7,,,,5369,,28,America/Halifax,2021-12-27
5966821,Grenfell,Grenfell,50.41674,-102.93432,P,PPL,CA,,11,,,,997,,595,America/Regina,2008-04-11
5967149,Grimsby,Grimsby,43.20011,-79.56631,P,PPL,CA,,8,3526,,,27314,,88,America/Toronto,2021-12-25
5967157,Grimshaw,Grimshaw,56.18339,-117.6027,P,PPL,CA,,1,,,,2560,,598,America/Edmonton,2021-12-23
5967590,Grunthal,Grunthal,49.40668,-96.85873,P,PPL,CA,,3,,,,1680,,266,America/Winnipeg,2021-12-23
5967629,Guelph,Guelph,43.54594,-80.25599,P,PPL,CA,,8,3523,,,115760,,335,America/Toronto,2019-06-10
5967988,Gull Lake,Gull Lake,50.10007,-108.48471,P,PPL,CA,,11,,,,949,,778,America/Regina,2008-04-11
11257139,HÈrouxville,Herouxville,46.66617,-72.62512,P,PPL,CA,,10,4,35035,,1340,,143,America/Toronto,2017-02-01
5969025,Haines Junction,Haines Junction,60.75216,-137.51082,P,PPL,CA,,12,,,,613,,599,America/Whitehorse,2021-12-23
12076628,Haliburton Village,Haliburton Village,45.04921,-78.50854,P,PPL,CA,,8,3546,,,1149,,325,America/Toronto,2020-05-30
5969782,Hamilton,Hamilton,43.25011,-79.84963,P,PPL,CA,,8,,,,519949,,95,America/Toronto,2019-09-05
5970014,Hampstead,Hampstead,45.48064,-73.66307,P,PPL,CA,,10,6,66058,,6996,,49,America/Toronto,2019-03-26
5970018,Hampton,Hampton,45.52876,-65.85354,P,PPL,CA,,4,,,,3436,,0,America/Moncton,2019-08-08
5970234,Hanna,Hanna,51.63343,-111.90181,P,PPL,CA,,1,,,,3140,,826,America/Edmonton,2008-04-11
5970301,Hanover,Hanover,44.15009,-81.03303,P,PPL,CA,,8,,,,7688,,277,America/Toronto,2021-12-23
5970414,Hantsport,Hantsport,45.06685,-64.16544,P,PPL,CA,,7,,,,1253,,-9999,America/Halifax,2008-04-11
5970458,Happy Valley-Goose Bay,Happy Valley-Goose Bay,53.3038,-60.32576,P,PPL,CA,,5,,,,7572,12,17,America/Goose_Bay,2020-11-01
5970478,Harbour Breton,Harbour Breton,47.48325,-55.79833,P,PPL,CA,,5,,,,1898,,1,America/St_Johns,2008-04-11
5970873,Hare Bay,Hare Bay,48.8499,-54.01481,P,PPL,CA,,5,,,,968,,29,America/St_Johns,2008-04-11
5971448,Harriston,Harriston,43.91199,-80.87199,P,PPL,CA,,8,3523,,,1797,,384,America/Toronto,2020-05-30
7303784,Hartland,Hartland,46.29986,-67.51669,P,PPL,CA,,4,,,,902,99,101,America/Moncton,2010-07-18
12076674,Hatzic Island,Hatzic Island,49.16446,-122.23755,P,PPL,CA,,2,5909,,,522,,8,America/Vancouver,2019-08-12
5972068,Haute-Aboujagane,Haute-Aboujagane,46.14834,-64.39892,P,PPL,CA,,4,,,,974,,44,America/Moncton,2019-08-12
12076633,Hauterive,Hauterive,49.19572,-68.25813,P,PPL,CA,,10,9,96020,,11549,,48,America/Toronto,2019-08-10
12076665,Haut-Sheila,Haut-Sheila,47.74639,-64.91151,P,PPL,CA,,4,1315,,,752,,11,America/Moncton,2019-08-12
5972291,Havre-Saint-Pierre,Havre-Saint-Pierre,50.24342,-63.60264,P,PPL,CA,,10,9,98040,,3460,,12,America/Toronto,2021-12-23
5972360,Hawkesbury,Hawkesbury,45.60009,-74.61595,P,PPL,CA,,8,,,,10263,,53,America/Toronto,2021-11-12
5972762,Hay River,Hay River,60.81555,-115.79993,P,PPL,CA,,13,11995139,6105016,,3528,,152,America/Yellowknife,2021-09-30
12070761,Hayes Subdivision,Hayes Subdivision,45.05519,-64.58795,P,PPL,CA,,7,1207,,,1121,,49,America/Halifax,2019-08-09
5972961,Headingley,Headingley,49.8753,-97.40896,P,PPL,CA,,3,,,,3215,,239,America/Winnipeg,2013-07-18
5973108,Hearst,Hearst,49.68351,-83.66654,P,PPL,CA,,8,,,,4746,,235,America/Toronto,2008-04-11
5973741,Hemmingford,Hemmingford,45.05008,-73.58248,P,PPL,CA,,10,16,68010,,808,,79,America/Toronto,2019-02-26
12070753,Heritage Pointe,Heritage Pointe,50.84213,-114.00493,P,PPL,CA,,1,4806001,,,2075,,1048,America/Edmonton,2019-08-09
5975004,High Level,High Level,58.51688,-117.13605,P,PPL,CA,,1,,,,3159,,329,America/Edmonton,2021-12-21
5975034,High Prairie,High Prairie,55.4334,-116.4858,P,PPL,CA,,1,,,,2878,,593,America/Edmonton,2008-04-11
5975038,High River,High River,50.58341,-113.86867,P,PPL,CA,,1,,,,9826,,1034,America/Edmonton,2008-04-11
5975503,Hinton,Hinton,53.40009,-117.58567,P,PPL,CA,,1,,,,9889,,1022,America/Edmonton,2013-09-22
5975610,Hixon,Hixon,53.41704,-122.58219,P,PPL,CA,,2,,,,202,,577,America/Vancouver,2010-11-06
5976783,Hope,Hope,49.38299,-121.44144,P,PPL,CA,,2,5909,5909009,,4598,,45,America/Vancouver,2019-02-26
6694966,Hopedale,Hopedale,55.46737,-60.20319,P,PPL,CA,,5,,,,625,,1,America/Goose_Bay,2008-07-14
5976999,Hornby Island,Hornby Island,49.53448,-124.66923,P,PPL,CA,,2,5926,,,1100,,75,America/Vancouver,2018-08-13
5977046,Hornepayne,Hornepayne,49.21451,-84.77617,P,PPL,CA,,8,3557,3557096,,1050,,330,America/Toronto,2019-02-26
5977783,Houston,Houston,54.39976,-126.67008,P,PPL,CA,,2,5951,5951034,,2993,,590,America/Vancouver,2021-12-27
5978126,Hudson,Hudson,45.45008,-74.14922,P,PPL,CA,,10,16,71100,,5088,,47,America/Toronto,2020-11-01
5978133,Hudson Bay,Hudson Bay,52.85003,-102.38425,P,PPL,CA,,11,,,,1504,,375,America/Regina,2021-12-25
5978404,Humboldt,Humboldt,52.20005,-105.1255,P,PPL,CA,,11,,,,4822,,568,America/Regina,2008-04-11
5978683,Huntingdon,Huntingdon,45.08339,-74.16593,P,PPL,CA,,10,16,69045,,2865,,48,America/Toronto,2019-02-26
5978765,Huntsville,Huntsville,45.33341,-79.21632,P,PPL,CA,,8,,,,19816,,302,America/Toronto,2021-11-13
5978831,Huron East,Huron East,43.61679,-81.29975,P,PPL,CA,,8,,,,9264,,338,America/Toronto,2013-05-05
5980472,Ile des ChÍnes,Ile des Chenes,49.7106,-96.98893,P,PPL,CA,,3,,,,1546,,236,America/Winnipeg,2019-08-11
5982466,Ilford,Ilford,56.06722,-95.59925,P,PPL,CA,,3,,,,43,,193,America/Winnipeg,2013-04-06
5982839,Indian Head,Indian Head,50.53336,-103.66775,P,PPL,CA,,11,,,,1642,,588,America/Regina,2008-04-11
5983175,Ingersoll,Ingersoll,43.03339,-80.88302,P,PPL,CA,,8,,,,12757,,293,America/Toronto,2021-11-12
5983433,Innisfil,Innisfil,44.30011,-79.64964,P,PPL,CA,,8,,,,7345,,266,America/Toronto,2006-01-22
5983607,Inuvik,Inuvik,68.36166,-133.72817,P,PPL,CA,,13,11995136,6101017,,3243,,22,America/Inuvik,2021-11-11
5983624,Invermay,Invermay,51.80586,-103.15281,P,PPL,CA,,11,,,,273,,557,America/Regina,2021-12-22
5983626,Invermere,Invermere,50.51666,-116.03538,P,PPL,CA,,2,5901,5901039,,3391,,803,America/Edmonton,2021-12-27
5984000,Iroquois Falls,Iroquois Falls,48.76688,-80.68307,P,PPL,CA,,8,,,,4232,,280,America/Toronto,2008-04-11
5984019,Irricana,Irricana,51.32372,-113.60475,P,PPL,CA,,1,,,,1216,935,931,America/Edmonton,2020-01-19
5984875,Ivujivik,Ivujivik,62.41737,-77.91592,P,PPL,CA,,10,10,,,414,,1,America/Toronto,2021-12-27
5985477,Jaffray,Jaffray,49.38324,-115.30204,P,PPL,CA,,2,,,,554,,837,America/Edmonton,2019-08-13
5985873,Jarvis,Jarvis,42.88559,-80.1122,P,PPL,CA,,8,3528,,,1037,,209,America/Toronto,2020-05-30
6354954,Jasper,Jasper,52.87946,-118.08041,P,PPL,CA,,1,,,,3948,,1062,America/Edmonton,2021-08-01
5987650,Joliette,Joliette,46.0164,-73.4236,P,PPL,CA,,10,14,61020,,34772,,57,America/Toronto,2016-06-20
5988814,Kakisa,Kakisa,60.93927,-117.40883,P,PPL,CA,,13,11995139,6104005,,36,,217,America/Yellowknife,2019-02-26
5989045,Kamloops,Kamloops,50.66648,-120.3192,P,PPL,CA,,2,5933,5933042,,90280,,414,America/Vancouver,2021-12-05
6325493,Kamouraska,Kamouraska,47.56593,-69.86631,P,PPL,CA,,10,1,14050,,589,,4,America/Toronto,2016-06-22
5989068,Kamsack,Kamsack,51.56668,-101.90093,P,PPL,CA,,11,,,,1898,,450,America/Regina,2021-12-22
11071526,Kananaskis,Kananaskis,51.04821,-115.02223,P,PPL,CA,,1,,,,249,,1337,America/Edmonton,2016-04-07
